,Organization Name,IPO Status,Number of Founders,Company Type,CB Rank (Company),Operating Status,Industry Groups,Number of Employees,Estimated Revenue Range,Number of Exits,Number of Sub-Orgs,city,state,funding_status,revenue_range,no_employees,lat,lon,no_founders,industry,industry_groups,industry_groups_andreas,website,phone,email,linkedin,twitter,facebook,articles,founded_year,last_funding_year,exit_year,closed_year,no_investors,no_fund_rounds,acquired,private_ipo,company_type,operting_status,no_lead_investors,no_sub_orgs,no_exits,has_preseed,has_seed,has_series_a,has_series_b,has_series_c,has_series_d,has_series_e,has_angel,has_debt_financing,has_grant,has_corporate_round,has_series_x,has_ico,has_other_funding,preseed_fund,seed_fund,series_a_fund,series_b_fund,series_c_fund,series_d_fund,series_e_fund,private_equity_fund,seed_to_pre_ratio,a_to_seed_ratio,b_to_a_ratio,c_to_b_ratio,d_to_c_ratio,e_to_d_ratio,pe_to_e_ratio,total_funding_usd,last_funding_type,last_funding_amount,hub_tags,industry_multiples,company_valuation,months_since_founded,y
1,infinite roots,Private,1.0,For Profit,"1,875",Active,"Biotechnology, Food and Beverage, Health Care, Science and Engineering",51-100,,,,Hamburg, Hamburg,Early Stage Venture,$1M to $10M,51-100,53.5511,9.9937,1.0,"['Biotechnology', ' Food and Beverage', ' Health Care', ' Science and Engineering']",Healthcare and Biotechnology,-1,1,0,1,1,0,0,21.0,2018,2024.0,,,14.0,8.0,0,1,1,1,4.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,,,10000000.0,53000000.0,,,,,0.0,0.0,5.3,0.0,0.0,0.0,0.0,86661948.0,Series B,57481860.0,,3.0,259985844.0,77,1
2,instagrid,Private,2.0,For Profit,"1,950",Active,"Energy, Manufacturing",101-250,$1M to $10M,,,Stuttgart, Baden-Wurttemberg,Late Stage Venture,$1M to $10M,101-250,48.7775,9.18,2.0,"['Energy', ' Manufacturing']",Energy and Natural Resources,-1,1,1,1,1,1,1,31.0,2018,2024.0,,,10.0,4.0,0,1,1,1,4.0,0.0,0.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,8500000.0,29000000.0,87430000.0,,,,0.0,0.0,3.411764705882353,3.0148275862068967,0.0,0.0,0.0,137401184.0,Series C,94927569.0,,1.5,206101776.0,77,1
3,isar aerospace,Private,3.0,For Profit,"2,015",Active,"Information Technology, Science and Engineering, Transportation",251-500,$10M to $50M,,,Munich, Bayern,Late Stage Venture,$10M to $50M,251-500,48.1374,11.5755,3.0,"['Information Technology', ' Science and Engineering', ' Transportation']",Technology and Software,-1,1,0,1,1,1,1,52.0,2018,2024.0,,,16.0,5.0,0,1,1,1,5.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,15000000.0,75000000.0,,,,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,350641701.0,Series C,,,4.0,1402566804.0,77,1
5,wandelbots,Private,8.0,For Profit,"2,128",Active,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Design, Hardware, Manufacturing, Professional Services, Science and Engineering, Software",101-250,$1M to $10M,,,Dresden, Sachsen,Late Stage Venture,$1M to $10M,101-250,51.0504,13.7373,8.0,"['Artificial Intelligence (AI)', ' Consumer Electronics', ' Data and Analytics', ' Design', ' Hardware', ' Manufacturing', ' Professional Services', ' Science and Engineering', ' Software']",Technology and Software,-1,1,1,1,1,1,1,24.0,2017,2022.0,,,13.0,6.0,0,1,1,1,6.0,0.0,0.0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,,,6000000.0,30000000.0,84000000.0,,,,0.0,0.0,5.0,2.8,0.0,0.0,0.0,122184409.0,Series C,84000000.0,,4.0,488737636.0,80,1
6,agile robots ag,Private,3.0,For Profit,"2,553",Active,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",501-1000,$50M to $100M,,,Gilching, Bayern,M&A,$50M to $100M,501-1000,48.1067,11.3,3.0,"['Artificial Intelligence (AI)', ' Data and Analytics', ' Hardware', ' Manufacturing', ' Science and Engineering', ' Software']",Technology and Software,-1,1,1,1,1,1,1,6.0,2018,2022.0,,,15.0,5.0,0,1,1,1,5.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,220000000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270050589.0,Venture - Series Unknown,30000000.0,Unicorn,4.0,1080202356.0,77,1
7,atai life sciences,Public,4.0,For Profit,"2,728",Active,"Biotechnology, Health Care, Science and Engineering",101-250,Less than $1M,2.0,,Munich, Bayern,IPO,Less than $1M,101-250,48.1374,11.5755,4.0,"['Biotechnology', ' Health Care', ' Science and Engineering']",Healthcare and Biotechnology,-1,1,1,1,1,1,1,81.0,2018,2022.0,2021.0,,42.0,11.0,0,0,1,1,9.0,0.0,2.0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,25500000.0,43000000.0,93000000.0,157000000.0,,,0.0,0.0,1.6862745098039216,2.1627906976744184,1.6881720430107527,0.0,0.0,522100000.0,Post-IPO Debt,175000000.0,Exited Unicorn,3.0,1566300000.0,77,1
10,usercentrics,Private,3.0,For Profit,"3,173",Active,"Government and Military, Information Technology, Privacy and Security, Professional Services, Sales and Marketing, Software",101-250,$10M to $50M,,,Munich, Bayern,Early Stage Venture,$10M to $50M,101-250,48.1374,11.5755,3.0,"['Government and Military', ' Information Technology', ' Privacy and Security', ' Professional Services', ' Sales and Marketing', ' Software']",Government and Public Services,-1,1,0,1,1,1,1,28.0,2018,2020.0,,,7.0,3.0,0,1,1,1,4.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,4000000.0,17000000.0,,,,,0.0,0.0,4.25,0.0,0.0,0.0,0.0,25219528.0,Series B,20733527.0,,1.5,37829292.0,77,1
11,vivenu,Private,3.0,For Profit,"3,229",Active,"Events, Media and Entertainment, Other, Software",101-250,$1M to $10M,,,Düsseldorf, Nordrhein-Westfalen,Early Stage Venture,$1M to $10M,101-250,51.2217,6.7762,3.0,"['Events', ' Media and Entertainment', ' Other', ' Software']",Community and Lifestyle,-1,1,0,0,1,0,0,11.0,2018,2021.0,,,7.0,3.0,0,1,1,1,3.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,1400000.0,12600000.0,43000000.0,,,,,0.0,9.0,3.412698412698413,0.0,0.0,0.0,0.0,66671969.0,Series B,49944306.0,,1.5,100007953.5,74,1
12,bryter,Private,1.0,For Profit,"3,363",Active,"Manufacturing, Professional Services, Science and Engineering, Software",101-250,$10M to $50M,,,Berlin, Berlin,Early Stage Venture,$10M to $50M,101-250,52.52,13.405,1.0,"['Manufacturing', ' Professional Services', ' Science and Engineering', ' Software']",Manufacturing and Industry,-1,1,0,1,1,1,1,10.0,2018,2021.0,,,6.0,4.0,0,1,1,1,4.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,6000000.0,16000000.0,66000000.0,,,,,0.0,2.6666666666666665,4.125,0.0,0.0,0.0,0.0,89000000.0,Series B,66000000.0,,1.5,133500000.0,77,1
14,cargo.one,Private,3.0,For Profit,"4,458",Active,"Information Technology, Transportation",101-250,$10M to $50M,,,Berlin, Berlin,Early Stage Venture,$10M to $50M,101-250,52.52,13.405,3.0,"['Information Technology', ' Transportation']",Technology and Software,-1,1,0,1,1,1,1,14.0,2017,2020.0,,,8.0,3.0,0,1,1,1,4.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,3200000.0,18600000.0,42000000.0,,,,,0.0,5.8125,2.2580645161290325,0.0,0.0,0.0,0.0,63800000.0,Series B,42000000.0,,4.0,255200000.0,83,1
15,dataguard,Private,3.0,For Profit,"4,717",Active,"Privacy and Security, Professional Services, Software",101-250,$50M to $100M,,,Munich, Bayern,Early Stage Venture,$50M to $100M,101-250,48.1374,11.5755,3.0,"['Privacy and Security', ' Professional Services', ' Software']",Technology and Software,-1,1,1,1,1,1,0,7.0,2018,2022.0,,,7.0,3.0,0,1,1,1,3.0,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,,,20000000.0,61000000.0,,,,,0.0,0.0,3.05,0.0,0.0,0.0,0.0,81108692.0,Series B,59971842.0,,4.0,324434768.0,73,1
17,legendairy foods,Private,2.0,For Profit,"5,556",Active,"Biotechnology, Food and Beverage, Science and Engineering",51-100,$1M to $10M,,,Berlin, Berlin,Early Stage Venture,$1M to $10M,51-100,52.52,13.405,2.0,"['Biotechnology', ' Food and Beverage', ' Science and Engineering']",Healthcare and Biotechnology,-1,1,0,1,1,1,1,11.0,2018,2021.0,,,14.0,6.0,0,1,1,1,5.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,4700000.0,42000000.0,,,,,,0.0,8.936170212765957,0.0,0.0,0.0,0.0,0.0,54308272.0,Series A,49608271.0,,3.0,162924816.0,77,1
18,lanes & planes,Private,1.0,For Profit,"5,925",Active,"Software, Travel and Tourism",51-100,$10B+,,,Munich, Bayern,Early Stage Venture,$10B+,51-100,48.1374,11.5755,1.0,"['Software', ' Travel and Tourism']",Technology and Software,-1,1,1,0,1,0,1,9.0,2017,2023.0,,,7.0,3.0,0,1,1,1,3.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,10000000.0,33200000.0,,,,,0.0,0.0,3.32,0.0,0.0,0.0,0.0,45039800.0,Series B,35039799.0,,4.0,180159200.0,82,1
20,enapter,Public,3.0,For Profit,"6,297",Active,"Energy, Natural Resources, Software, Sustainability",101-250,$10M to $50M,,,Berlin, Berlin,IPO,$10M to $50M,101-250,52.52,13.405,3.0,"['Energy', ' Natural Resources', ' Software', ' Sustainability']",Energy and Natural Resources,-1,1,1,1,1,1,1,53.0,2017,2023.0,2020.0,,4.0,9.0,0,0,1,1,3.0,0.0,0.0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,4000000.0,4650000.0,5300000.0,,,,,0.0,1.1625,1.1397849462365592,0.0,0.0,0.0,0.0,132246582.0,Post-IPO Debt,26671161.0,,1.5,198369873.0,80,1
